KeysPressed,StartTappingTime,FingertappingRound,CorrectSequence,ParticipantID
2,3.3021465000001626,1,24312,2
4,3.499969500000134,1,24312,2
3,3.7507783000000927,1,24312,2
1,3.9684735999999248,1,24312,2
2,4.136276600000201,1,24312,2
2,1.3097169000002395,2,21342,2
1,1.4413133000002745,2,21342,2
3,2.263223900000412,2,21342,2
4,2.4147554000001037,2,21342,2
2,3.054341300000033,2,21342,2
KeysPressed,StartTappingTime,FingertappingRound,CorrectSequence,ParticipantID
2,1.111041600000135,1,23412,2
3,1.3049697000001288,1,23412,2
4,2.371803,1,23412,2
1,3.05182190000005,1,23412,2
2,3.245026499999767,1,23412,2
3,3.6704734999998436,1,23412,2
2,5.289972499999749,1,23412,2
3,5.669879499999752,1,23412,2
4,6.0254870999997365,1,23412,2
1,6.429099299999962,1,23412,2
2,6.787698900000123,1,23412,2
2,7.1660564999997405,1,23412,2
3,7.462755399999878,1,23412,2
4,7.760532400000102,1,23412,2
1,8.094969599999786,1,23412,2
2,8.4774110999997,1,23412,2
2,9.041015700000116,1,23412,2
3,9.310192500000085,1,23412,2
4,9.625373200000013,1,23412,2
1,9.921558600000026,1,23412,2
2,10.142301399999724,1,23412,2
2,10.673584000000119,1,23412,2
3,10.89289800000006,1,23412,2
4,11.163994799999728,1,23412,2
1,11.43695519999983,1,23412,2
2,11.712528600000041,1,23412,2
2,12.284734800000024,1,23412,2
3,12.559800900000027,1,23412,2
4,12.825745900000129,1,23412,2
1,13.100179600000047,1,23412,2
2,13.335156799999822,1,23412,2
2,13.787820099999863,1,23412,2
3,14.020318599999882,1,23412,2
4,14.313446999999996,1,23412,2
1,14.582759299999907,1,23412,2
2,14.837967599999956,1,23412,2
2,15.280821800000012,1,23412,2
3,15.512528499999917,1,23412,2
4,15.766770400000041,1,23412,2
1,16.028888699999698,1,23412,2
2,16.277066699999978,1,23412,2
2,16.738018499999725,1,23412,2
3,16.963364100000035,1,23412,2
4,17.228604899999937,1,23412,2
1,17.508492399999795,1,23412,2
2,17.753966899999796,1,23412,2
2,18.207111299999724,1,23412,2
3,18.449905099999796,1,23412,2
4,18.71933769999987,1,23412,2
1,19.079147999999805,1,23412,2
2,19.379512299999988,1,23412,2
2,19.943744400000014,1,23412,2
3,20.199585399999705,1,23412,2
4,20.44965749999983,1,23412,2
1,20.704516499999954,1,23412,2
2,20.942102299999988,1,23412,2
2,21.43121149999979,1,23412,2
3,21.669269600000007,1,23412,2
4,21.92855819999977,1,23412,2
1,22.1789375999997,1,23412,2
2,22.404537599999912,1,23412,2
2,22.91055729999971,1,23412,2
3,23.134268299999803,1,23412,2
4,23.381071499999962,1,23412,2
1,23.644131900000048,1,23412,2
2,23.903107399999953,1,23412,2
2,24.38711340000009,1,23412,2
3,24.625900900000033,1,23412,2
4,24.878873300000123,1,23412,2
1,25.110313399999995,1,23412,2
2,25.380439199999728,1,23412,2
2,25.872108000000026,1,23412,2
3,26.105500199999824,1,23412,2
4,26.321842699999706,1,23412,2
1,26.58112260000007,1,23412,2
2,26.805900800000018,1,23412,2
2,27.354024599999775,1,23412,2
3,27.600946300000032,1,23412,2
4,27.843764499999907,1,23412,2
1,28.077148999999736,1,23412,2
2,28.314601799999764,1,23412,2
2,29.071006600000146,1,23412,2
3,29.358142000000043,1,23412,2
4,29.64803979999988,1,23412,2
2,1.3947981999999683,2,21342,2
1,1.6041040999998586,2,21342,2
3,1.827173600000151,2,21342,2
4,2.364493300000049,2,21342,2
2,2.6789402999997947,2,21342,2
2,3.410996199999772,2,21342,2
1,3.670031199999812,2,21342,2
3,3.9472046999999293,2,21342,2
4,4.240542800000185,2,21342,2
2,4.504196999999749,2,21342,2
2,5.288708600000064,2,21342,2
1,5.5213561999999,2,21342,2
3,5.836565000000064,2,21342,2
4,6.186183599999822,2,21342,2
2,6.523890699999811,2,21342,2
2,7.194073300000127,2,21342,2
1,7.44701619999978,2,21342,2
3,7.955898600000182,2,21342,2
4,8.317372599999999,2,21342,2
2,8.695966700000099,2,21342,2
2,9.395028800000091,2,21342,2
1,9.69177159999981,2,21342,2
3,10.021439999999984,2,21342,2
4,10.40574209999977,2,21342,2
2,10.73883799999976,2,21342,2
2,11.30645800000002,2,21342,2
1,11.640324899999996,2,21342,2
3,12.000050699999974,2,21342,2
4,12.334309200000007,2,21342,2
2,12.773295999999846,2,21342,2
2,13.69021100000009,2,21342,2
1,13.958584099999825,2,21342,2
3,14.28881599999977,2,21342,2
4,15.283124099999895,2,21342,2
2,15.647552599999926,2,21342,2
2,16.215999799999736,2,21342,2
1,16.455133800000112,2,21342,2
3,16.764980299999934,2,21342,2
4,17.04918029999999,2,21342,2
2,17.35129569999981,2,21342,2
2,18.008190500000183,2,21342,2
1,18.257283200000074,2,21342,2
3,18.630493600000136,2,21342,2
4,19.325218999999834,2,21342,2
2,19.91040299999986,2,21342,2
2,20.51269820000016,2,21342,2
1,20.88608979999981,2,21342,2
3,21.493770799999766,2,21342,2
4,22.21647179999991,2,21342,2
2,22.63779149999982,2,21342,2
2,23.46083150000004,2,21342,2
1,23.877462800000103,2,21342,2
3,24.475993500000186,2,21342,2
4,25.032246700000087,2,21342,2
2,25.4398556000001,2,21342,2
2,26.417636399999992,2,21342,2
1,26.696806299999935,2,21342,2
3,27.027686099999755,2,21342,2
4,27.77685650000012,2,21342,2
2,28.13001529999974,2,21342,2
2,28.973081199999797,2,21342,2
1,29.411181999999826,2,21342,2
1,1.2843978999999308,3,14231,2
4,1.6308807999998862,3,14231,2
2,1.8933850999997048,3,14231,2
3,2.0991723999995884,3,14231,2
1,2.326618199999757,3,14231,2
2,3.2998123999996096,3,14231,2
1,4.113104000000021,3,14231,2
4,4.980820799999947,3,14231,2
2,5.729527999999846,3,14231,2
3,5.997873699999673,3,14231,2
1,6.294560499999989,3,14231,2
1,7.1904852999996365,3,14231,2
4,8.217533300000014,3,14231,2
2,8.629494699999668,3,14231,2
3,8.850960699999632,3,14231,2
1,9.14553769999975,3,14231,2
1,10.244975799999793,3,14231,2
4,10.634381299999859,3,14231,2
2,10.948723399999835,3,14231,2
3,11.170708399999967,3,14231,2
1,11.47350379999989,3,14231,2
1,12.04672219999975,3,14231,2
4,12.26019129999986,3,14231,2
2,12.614073199999893,3,14231,2
3,12.888375899999573,3,14231,2
1,13.574201999999786,3,14231,2
1,14.138717099999667,3,14231,2
4,14.803657999999814,3,14231,2
2,15.517330899999706,3,14231,2
3,15.841183099999853,3,14231,2
1,16.234184899999946,3,14231,2
1,17.087516599999617,3,14231,2
4,17.370443499999965,3,14231,2
2,17.626860999999735,3,14231,2
3,17.881055999999717,3,14231,2
1,18.151112000000012,3,14231,2
1,18.845323300000018,3,14231,2
4,19.074798299999657,3,14231,2
2,19.302963399999953,3,14231,2
3,19.561743999999635,3,14231,2
1,19.774796400000014,3,14231,2
1,20.39322029999994,3,14231,2
4,20.6411693,3,14231,2
2,21.094022199999927,3,14231,2
3,21.38844429999972,3,14231,2
1,21.654503999999633,3,14231,2
1,22.287309399999685,3,14231,2
4,22.53139169999986,3,14231,2
2,22.994319899999937,3,14231,2
3,23.30968239999993,3,14231,2
1,23.65833539999994,3,14231,2
1,24.172076599999855,3,14231,2
4,24.450760499999888,3,14231,2
2,24.964562699999988,3,14231,2
3,25.252656099999967,3,14231,2
1,25.583206999999675,3,14231,2
1,26.218466799999987,3,14231,2
4,26.45835259999967,3,14231,2
2,26.744093499999963,3,14231,2
3,26.989301799999794,3,14231,2
1,27.26168289999987,3,14231,2
1,27.70182849999992,3,14231,2
4,27.94790309999962,3,14231,2
2,28.184588899999653,3,14231,2
3,28.410413799999787,3,14231,2
1,28.71577279999974,3,14231,2
1,29.19093189999967,3,14231,2
4,29.423021699999936,3,14231,2
2,29.71244519999982,3,14231,2
3,29.922688299999663,3,14231,2
3,1.4737166000004436,4,32413,2
2,1.674352099999851,4,32413,2
4,1.9054185000004509,4,32413,2
1,2.1272797000001447,4,32413,2
3,2.7572041000003082,4,32413,2
3,3.658578999999918,4,32413,2
2,4.078304700000444,4,32413,2
4,4.379398500000207,4,32413,2
1,4.613580799999909,4,32413,2
3,4.913647500000479,4,32413,2
3,5.50166309999986,4,32413,2
2,5.739001400000234,4,32413,2
4,5.940690499999619,4,32413,2
1,6.155876599999829,4,32413,2
3,6.3880529999996725,4,32413,2
3,7.298461000000316,4,32413,2
2,7.588841800000409,4,32413,2
4,7.817834999999832,4,32413,2
1,8.17071659999965,4,32413,2
3,8.461512099999709,4,32413,2
3,9.001051700000062,4,32413,2
2,9.180641699999796,4,32413,2
4,9.403451600000153,4,32413,2
1,9.62406379999993,4,32413,2
3,9.841128400000343,4,32413,2
3,10.3923848000004,4,32413,2
2,10.581844899999851,4,32413,2
4,10.791048500000215,4,32413,2
1,11.018952000000354,4,32413,2
3,11.334651299999678,4,32413,2
3,11.88715560000037,4,32413,2
2,12.066648900000473,4,32413,2
4,12.28040349999992,4,32413,2
1,12.640123600000152,4,32413,2
3,12.899326900000233,4,32413,2
3,13.744378700000198,4,32413,2
2,13.994326099999853,4,32413,2
4,14.195239499999843,4,32413,2
1,14.424600800000007,4,32413,2
3,14.617338199999722,4,32413,2
3,15.233673900000213,4,32413,2
2,15.40111429999979,4,32413,2
4,15.644092999999884,4,32413,2
1,15.871234000000186,4,32413,2
3,16.070641100000103,4,32413,2
3,16.874012799999946,4,32413,2
2,17.069055699999808,4,32413,2
4,17.33676000000014,4,32413,2
1,17.527403799999774,4,32413,2
3,17.746245700000145,4,32413,2
3,18.26878300000044,4,32413,2
2,18.454165500000272,4,32413,2
4,18.674905099999705,4,32413,2
1,18.86777549999988,4,32413,2
3,19.063855100000183,4,32413,2
3,20.092759600000136,4,32413,2
2,20.27685029999975,4,32413,2
4,20.516696200000297,4,32413,2
1,20.72746559999996,4,32413,2
3,21.05279359999986,4,32413,2
3,21.79850720000013,4,32413,2
4,22.054320899999766,4,32413,2
3,23.126663000000008,4,32413,2
2,23.322068399999807,4,32413,2
4,23.7560739999999,4,32413,2
1,24.060501599999952,4,32413,2
3,24.31943120000051,4,32413,2
3,25.395636899999772,4,32413,2
2,25.667427999999745,4,32413,2
4,26.400499200000013,4,32413,2
1,26.692323899999792,4,32413,2
3,26.977137400000174,4,32413,2
3,27.585491400000137,4,32413,2
2,27.829983900000116,4,32413,2
4,28.064269000000422,4,32413,2
1,28.33936950000043,4,32413,2
3,28.590107799999714,4,32413,2
3,29.414443700000447,4,32413,2
2,29.7090575000002,4,32413,2
4,29.964190400000007,4,32413,2
